global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36
1571.4254444924438	n/a	n/a	2469377.927598275	2025.397460519451	n/a	4102234.873078641	n/a	1610.737301475123	n/a	2594474.6543633617	n/a	1719.5221365121697	1381.0166640878422	n/a	n/a	n/a	n/a	-0.0067083503	-0.0510773144	0.0036565275	0.0384472538	-0.0200950126	-0.0099240291	0.0324597688	0.0766675938	0.0744583591	-0.0546615819	0.0015740188	-0.0616536549	-0.055612826	0.0134089572	-0.0421899269	-0.0095063675	-0.01057615	-0.111344108	-0.0543098603	-0.0419745255	-0.0047927179	-0.1113049123	0.0099943334	-0.0409504419	0.046139685	-0.0470318389	0.0016059434	-0.0264889445	0.0597363513	-0.0014344621	-0.00340507	-0.027090649	-0.0209203232	-0.0346882471	0.025982222	-0.035720145	0.0098403017	-0.0016057451	0.0344451305	0.0298519712	-0.0858833436	0.0040255678	-0.0341139483	0.0361297222	-0.0462855251	0.001162011	-0.0166744112	0.0011167238	-0.0298460187	0.0129678355	-0.0202367014	0.0487839993	-0.0276907777	0.0109519567	-0.0410568457	-0.0454714419	0.0816485389	0.0816451812	0.0816395852	0.081631751	0.0816216788	0.0816093689	0.0815948217	0.0815780375	-0.0819257585308719	n/a	0.0067118299108587	n/a	-0.0579651286948745	n/a	n/a	0.0033599561446133	-0.233321808676024	n/a	0.0544390664038511	n/a	-0.000920233419305	n/a	8.46829546005772e-07	n/a	0.0028335697604371	n/a	8.029117587263566e-06	n/a	-0.0023082070004519	n/a	n/a	5.327819556935157e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1562.7708772108963	-8.654567281547543	74.90153483083323	2442252.814658514	2011.513930229292	-13.883530290158888	4046188.2915064935	192.75241331775933	1596.3444792094983	-14.392822265624773	2548315.6963026444	207.15333276986425	1718.650512460562	1356.9115714312993	1.01051	34.710152	0.2807120534139901	0.1766969230174409	0.0071607636	-0.0066830216	-0.0762283231	0.0400529554	0.0160082099	-0.0112268991	0.0570709385	0.0697130741	-0.0399290076	0.0125786171	-0.0495937966	-0.0007950725	-0.0239890963	-0.021147553	-0.0631502202	0.0394348867	-0.0620937154	0.0470910394	-0.0378739758	-0.0361812253	-0.0096907877	-0.1245702214	-0.0457762876	-0.0355166106	0.0294759619	0.0825852941	-0.0411926028	0.0950125256	-0.0533358108	0.0392694755	-0.0510382781	-0.0870498136	-0.0061506314	-0.0007957336	0.0274022018	-0.0019370787	-0.0266360258	0.0198225463	0.0379474522	-0.0047173567	-0.1300092958	-0.0864725745	-0.024228376	0.0486541333	0.0065125784	0.0346654366	-0.0164185626	-0.0555220412	-0.0414443068	0.05272966	-0.0379669344	0.0555843335	-0.033159677	-0.0570458666	-0.0635159026	0.0332164476	0.0816395852	0.0816093689	0.0815590168	0.0814885411	0.0813979594	0.081287294	0.0811565722	0.0810058262	-0.0667953821136109	0.015130376417261	0.0044616230717032	0.000228928290528	-0.0636207685140277	-0.0056556398191532	3.198626176399125e-05	0.0040476021863154	-0.0694008954542582	0.1639209132217658	0.0048164842898528	0.0268700657914576	-0.0019762952012108	-0.0010560617819058	3.905742722328836e-06	1.1152664872020538e-06	0.002532730114565	-0.0003008396458721	6.414721833224437e-06	9.050449252845077e-08	-0.0017450059491136	0.0005632010513382	3.1719542422856626e-07	3.045045762441856e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1556.4553928238977	-6.315484386998605	39.88534304242315	2422553.3898505936	2018.29790674497	6.783976515677978	4073526.440371128	46.02233736527032	1605.787106162623	9.442626953124773	2578552.2303181314	89.16320377587843	1725.205452317458	1355.8113643713166	0.936565	32.170185	0.1007831988598585	0.0737243762340449	-0.0041486995	-0.0303754854	-0.0872130417	0.0731089059	-0.0052977647	-0.0302217286	0.0578753416	-0.0060290692	-0.1077680129	-0.0681770291	-0.1231192517	-0.0335757898	0.0721831083	0.0285214371	0.0218929845	-0.0500765652	0.0216839209	0.0404372403	0.0897156895	-0.0499202265	-0.0200979312	-0.1648696403	-0.0296182277	-0.0102840415	-0.0888150319	0.0605999375	0.0184532366	0.0901630433	0.0301431375	-0.0274679142	0.0295192465	-0.07326229	-0.0194238618	-0.0291944318	0.0231195503	-0.0278699592	0.0282436748	0.0415802234	0.0521847553	-0.0471333318	-0.1208507461	-0.0237755389	-0.0025312921	0.0315298787	-0.0424853852	0.0040863853	-0.0314350018	-0.037768481	-0.0503539701	0.0090394888	-0.1064707012	0.0505624388	-0.0949238104	-0.0212675874	-0.0098773438	0.0449238188	0.0816216788	0.0815377601	0.0813979594	0.0812023727	0.0809511339	0.0806444153	0.080282427	0.0798654172	-0.0675380734790707	-0.0007426913654598	0.0045613913692643	5.515904643285495e-07	-0.0674986323016497	-0.0038778637876219	1.5037827555349972e-05	0.0045560653625933	-0.13204253303509	-0.0626416375808318	0.0174352305303228	0.0039239747588082	-0.0013112951298352	0.0006650000713756	1.719494917529514e-06	4.4222509492955323e-07	0.0025291499144877	-3.580200077299769e-06	6.39659928995314e-06	1.2817832593497276e-11	-0.0017468458001796	-1.839851066000016e-06	3.385051945061396e-12	3.051470249605107e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1551.8081350556886	-4.647257768209101	21.59700476417984	2408108.4880250143	2014.1967380471424	-4.101168697827688	4056988.499559749	16.819584688041658	1595.8120888157894	-9.975017346833738	2546616.222810613	99.500971069634	1712.8186584472655	1313.629458850169	0.979029	33.628799	0.1444773301198164	0.0914081600456951	-0.022864437	-0.0535902161	-0.0629289362	0.099189716	-0.0300081734	-0.0667200382	0.0512993152	0.0101098248	-0.0698987919	-0.0096478515	-0.0433176602	0.0215075049	-0.0813903091	0.0006318685	0.0052958364	-0.040287947	-0.0364443655	0.0044537799	0.031709603	-0.0769335169	-0.0162172229	-0.0561072848	-0.0246349691	-0.0310709901	-0.0358346359	-0.0218215059	0.0438771178	0.0387885871	-0.0064929814	-0.0322187103	-0.0625272588	0.0684323092	-0.0273580031	-0.0543850735	0.019353125	-0.0474742535	0.0730808549	0.0542876562	0.0214937819	-0.0517919846	-0.0614603024	0.0623319751	-0.0375494868	-0.0121488895	-0.0685619337	0.0074480173	0.0178537393	0.0234164781	-0.0605463437	0.0308621739	-0.073697928	0.0550529961	-0.0994701428	0.0463764842	0.0885068217	0.0569991126	0.0815948217	0.0814303861	0.0811565722	0.0807737477	0.080282427	0.0796832699	0.0789770813	0.0781648097	-0.0742547592468838	-0.006716685767813	0.0055137692708126	4.511386770354293e-05	-0.0647770239256289	0.0027216083760207	7.407152152426567e-06	0.0041960628286614	-0.2000108681942976	-0.0679683351592075	0.0400043473958366	0.0046196945843143	-0.0007269607680392	0.000584334361796	5.284719582681434e-07	3.414466463755386e-07	0.0018810979053121	-0.0006480520091756	3.5385293293695703e-06	4.19971406596532e-07	-0.0016378181548157	0.0001090276453638	1.1887027453596334e-08	2.682448308243904e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1560.075000923351	8.266865867662318	68.34107127392025	2433834.008505993	2028.278158527531	14.081420480388717	4113912.288359833	198.28640274551077	1594.704744037829	-1.1073447779604066	2543083.2206567577	1.2262124572761823	1702.1506446251503	1323.4568871838308	0.859194	29.512579	0.1315943300708897	0.0689830956816118	-0.0220455284	-0.0535268684	0.0085451474	0.0345502092	-0.0233447589	-0.094427565	-0.0159351988	-0.0033609806	0.0048311342	0.0192792349	-0.0775447203	-0.0142167889	-0.0635455197	0.0104443817	-0.0259031542	-0.0239331508	0.0727750223	0.0509132243	0.1713633237	-0.0139805687	-0.0572301843	-0.0123207668	0.0074682577	-0.0314701035	-0.0821122784	0.0047403824	0.0207139859	0.0429396283	-0.0227261557	-0.04305112	-0.0789943371	-0.0115667071	-0.0284041246	-0.0623155324	0.0118031857	-0.0513028705	0.075118144	0.0405409938	0.0289083656	-0.0581316755	0.0149361394	0.1083907194	-0.0808479343	-0.0195189668	-0.0672136423	-0.0029397407	-0.0118316302	0.040007589	-0.0337162699	-0.0306632021	-0.062173416	0.017633461	-0.081916427	0.0529877843	0.0771587599	-0.0109679876	0.0815590168	0.081287294	0.0808350932	0.0802034182	0.0793936715	0.0784076511	0.0772475461	0.0759159322	-0.0598783419841879	0.0143764172626958	0.0035854158387753	0.0002066813733111	-0.0609907713361366	0.0037862525894922	1.433570867143714e-05	0.0037198741881769	-0.2534212055054041	-0.0534103373111065	0.0642223073998122	0.0028526641316861	-0.0010921463896966	-0.0003651856216574	1.192783736527318e-06	1.3336053826530177e-07	0.0016420707671973	-0.0002390271381147	2.6963964044839296e-06	5.713397275535165e-08	-0.001041604456436	0.0005962136983797	3.554707741356001e-07	1.0849398436673349e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1575.431968155974	15.356967232622992	235.83644258385627	2481985.8862878056	2036.2744324566568	7.996273929125664	4146413.56427668	63.940396749614784	1599.90355963456	5.198815596731038	2559691.400131336	27.02768360881389	1704.060756272536	1349.589725980703	1.063748	36.538826	0.1400808952423086	0.0816009062071374	-0.0023658052	-0.0265201961	0.0177353698	0.0246049357	0.0110883387	-0.0238845541	0.030984839	0.107362407	-0.0148777672	-0.014982143	0.0371085936	-0.0834914664	-0.0123896816	-0.0868163696	0.0227712	0.0301413299	-0.0042216157	-0.0151429905	-0.0114070849	-0.0078936123	-0.0261605277	-0.0299632015	-0.0017469413	-0.0584696723	-0.0057349598	-0.0475668384	0.0476886338	0.0398064675	-0.0176778294	0.0125960429	-0.1412510201	-0.0092528306	-0.0195553623	-0.0262696491	0.0141460404	-0.0216810807	0.0043703338	-0.0078589496	0.0132956075	-0.0137003934	0.0004591873	0.0337759755	-0.0867933102	0.002513248	0.0181194081	-0.0105503597	-0.0205471904	0.0318612307	-0.0021531717	-0.0053737636	-0.0859800301	0.0294370919	-0.0509858305	-0.013129262	-0.0302205201	0.0170630791	0.081514268	0.0811085467	0.0804338397	0.0794923845	0.0782873035	0.0768225931	0.0751031108	0.073134559	-0.0605001582837871	-0.0006218162995992	0.0036602691523632	3.866555104472468e-07	-0.0790901372316028	-0.0180993658954662	0.0003275870458179	0.0062552498073137	-0.1871246796718608	0.0662965258335432	0.0350156457422965	0.0043952293375976	-0.0012669068784285	-0.0001747604887318	1.605053038609446e-06	3.054122842181252e-08	0.0020649830265977	0.0004229122594003	4.264154900136598e-06	1.7885477915115116e-07	-0.0015451954525777	-0.0005035909961417	2.536038913949898e-07	2.387628986666803e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1573.012167679797	-2.419800476176988	5.855434344506378	2474367.2796686934	2036.1855717489163	-0.0888607077404231	4146051.682598461	0.0078962253801288	1606.804196006373	6.900636371813107	2581819.724303687	47.61878233598996	1710.5410982572116	1354.7939508672346	0.893972	30.707161	0.151637281583828	0.1044985871559082	-0.0010420228	-0.0007081222	-0.0042418712	-0.0070896737	-0.0008567795	0.0613387073	0.0120725188	-0.0295665258	0.0209249584	-0.1284452461	-0.0347427211	0.0026026273	-0.0344907964	-0.0032722037	0.0924283259	-0.0022280888	0.0243742814	-0.0379378156	0.0224552448	0.0002235919	0.0266570236	-0.0423041276	0.0650835616	-0.0138293315	-0.0610445694	0.0042017379	-0.04145685	0.0013638306	-0.0201840439	0.115567964	0.0166289808	-0.0355673604	-0.0066446934	0.0006820573	0.0066915787	-0.010420368	-0.0075351827	-0.0120954893	0.0382709581	0.0019470072	-0.0214990894	-0.0186012098	-0.0251115667	0.0014800322	0.0271470973	0.0114904162	-0.0263817619	0.0418940314	0.0238804712	0.0156878917	-0.0187391817	-0.0656661588	-0.0029352959	0.0221016492	-0.0297599732	-0.0017414639	0.0814605803	0.0808942224	0.0799532077	0.0786418943	0.0769663555	0.0749343514	0.0725552932	0.0698401994	-0.0233976407642728	0.0371025175195143	0.0005474495933339	0.0013765968062858	-0.0849834579404102	-0.0058933207088074	3.4731228976858263e-05	0.0072221881235094	-0.0918516944020595	0.0952729852698013	0.0084367337645293	0.0090769417222197	-0.0014678938381042	-0.0002009869596757	2.1547123199442797e-06	4.0395757959681465e-08	0.002110623912731	4.564088613329999e-05	4.454733300991916e-06	2.083090487032855e-09	-0.0015244541366726	2.074131590509994e-05	4.3020218547515176e-10	2.3239604148182024e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1567.8059714465885	-5.206196233208402	27.104479218673355	2458015.564103581	2040.149761461232	3.964189712315602	4162211.0491903215	15.714800075228853	1599.9646831311677	-6.839512875205401	2559886.987267018	46.778936370100446	1709.7441028301532	1343.259012197751	0.793199	27.245678	0.1256964751790605	0.0653870376380045	0.0024203008	-0.0023781468	-0.0138047126	0.0244213324	-0.0065245993	0.0246361075	0.0720181826	-0.0393073988	0.0331679389	-0.0256734535	0.0210907439	-0.0106022182	0.0020685899	-0.0187811897	-0.0908530239	-0.0145665587	-0.005101134	0.0310556056	0.0564874223	-0.0131256102	-0.0120846282	-0.0398278735	-0.0188740608	-0.0341877448	0.0008597451	-0.0057048225	0.0445898279	0.0263424594	0.052005675	-0.0114175252	0.0485593762	0.0641830902	-0.0021675375	0.0036550617	0.001406077	-0.0263082742	0.0132891225	-0.0052829618	0.0299514971	0.003792101	0.0086930993	-0.0132228546	0.0169740134	-0.009838337	-0.0004713479	-0.0150082961	-0.020370822	0.0409771068	0.0046550198	-0.0072045324	-0.0052164932	-0.0517374082	0.0075572638	0.0122939347	0.0096883612	0.0204100829	0.0813979594	0.0806444153	0.0793936715	0.0776534394	0.0754344479	0.0727503781	0.0696177779	0.066055961	-0.0254651257288571	-0.0020674849645843	0.0006484726283864	4.274494078782156e-06	-0.0900736351853197	-0.0050901772449094	2.5909904384594437e-05	0.008113259755498	-0.0819213157545277	0.0099303786475317	0.006711101974953	9.86124200833554e-05	-0.0023218676705227	-0.0008539738324184	5.391069479418509e-06	7.292713064555401e-07	0.0014260370792458	-0.0006845868334852	2.033581751383892e-06	4.686591325812929e-07	-0.0008908461161356	0.000633608020537	4.014591236888155e-07	7.936068026338829e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1566.4806531978736	-1.3253182487148931	1.7564684603767118	2453861.6368432366	2034.7074653939023	-5.442296067329608	4140034.4697296782	29.61858648447131	1583.2230224609375	-16.741660670230203	2506595.138850346	280.28320199713284	1698.2093698354868	1331.1043472914669	0.8228149999999999	28.262962	0.0986247844312351	0.0485447120733456	0.0118949386	0.0231361432	-0.0098686522	-0.0275409679	0.0116984679	0.0366958261	-0.013049917	-0.0105702662	-0.0072184246	0.0302103692	0.1030949533	0.0400589481	0.0018269565	-0.0181033856	0.0908064022	0.1325894091	0.0642555733	0.0240462806	-0.1127246445	0.0220403048	0.0375760643	0.0511945642	0.006831365	0.0535409086	0.0588977406	0.0276135032	0.0068895706	0.0082056187	-0.0590563997	0.1378218823	0.0114294413	0.0254184578	0.0046849849	0.0172981268	0.0060851836	0.0036261194	-0.0145569003	-0.0014319927	0.0295881155	-0.0326849246	0.0345322449	-0.0314390084	-0.0248288884	-0.0038101217	0.0457610742	0.015716552	0.0125268806	0.0068446928	0.0426279518	0.0126836652	0.0063961151	-0.053490116	0.0306213892	0.0001307145	-0.0242052701	0.0590295125	0.0813264124	0.0803592349	0.0787557834	0.076528754	0.0736957799	0.0702792922	0.0663063423	0.0618083875	-0.0266037943119101	-0.0011386685830529	0.0007077618717904	1.2965661420319202e-06	-0.0799373735308393	0.0101362616544804	0.000102743800328	0.0063899836870089	-0.037906902284476	0.0440144134700517	0.0014369332408048	0.0019372685931126	-0.0026511302267723	-0.0003292625562496	7.0284914793057465e-06	1.0841383094802105e-07	0.0011033983671546	-0.0003226387120912	1.2174879566394374e-06	1.0409573853986833e-07	-0.0006760385700034	0.0002148075461322	4.614228187533725e-08	4.570281481322419e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1572.7662700165988	6.285616818725202	39.50897879184113	2473593.740101925	2050.079762497993	15.372297104090876	4202827.032603828	236.30751825644077	1593.077925832648	9.854903371710408	2537897.277775252	97.11912046574916	1696.888955453726	1333.8778266237491	1.004839	34.515339	0.2627082923666061	0.1440952287532294	-0.0110844608	-0.0297694032	0.0320294582	-0.0190797694	-0.0206580484	-0.0566775255	0.0186312412	-0.0147462837	0.0815240559	0.0147462796	-0.0023185207	-0.0219885674	-0.0669769504	0.0303198414	0.0029226671	0.0301552844	0.0157059952	-0.0211119105	0.0059589739	0.0271969335	-0.0212510328	0.0819213133	0.0255409256	0.006738842	-0.0110931567	-0.0643392341	0.0341830033	-0.0057871251	-0.0512261223	0.0447298701	-0.0079825515	0.058284466	-0.0200449278	-0.0185771638	-0.0075935759	-0.0347708985	0.036312347	-0.0170876861	0.0184194655	0.0085564031	0.0321098706	0.090345	-0.0366504841	0.0059451873	0.0113863613	-0.011048826	0.0022654672	-0.0466274474	-0.0204005497	-0.0578856929	0.0386527336	-0.0291171443	0.0278447665	0.0162879277	-0.0187446258	-0.0475871737	0.0812459471	0.0800388062	0.0780401729	0.0752698111	0.0717551168	0.0675308461	0.0626387723	0.0571272725	-0.0078667005537056	0.0187370937582045	6.188497760167198e-05	0.0003510786825037	-0.0497862645950277	0.0301511089358115	0.0009090893700591	0.0024786721423261	-0.156392445043771	-0.118485542759295	0.0244585968667689	0.0140388238429647	-0.0013468043299428	0.0013043258968295	1.8138819031526743e-06	1.7012660451400796e-06	0.0013402079832924	0.0002368096161378	1.7961574384806817e-06	5.6078794295332194e-08	-0.001041593995302	-0.0003655554252986	1.3363076896524038e-07	1.0849180510491829e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
